Date,Time,Device Name,IP Address,Status,Sent,Received,Lost,Response Time
2024-10-23,11:14:20,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:30,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:40,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:50,Truenas,192.168.70.195,Success,1,1,0,2
2024-10-23,11:15:00,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:10,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:20,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:30,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:40,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:50,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:16:00,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:05,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:15,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:25,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:06,Truenas,192.168.70.195,Success,1,1,0,0
2024-10-23,11:36:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:56,Truenas,192.168.70.195,Success,1,1,0,1
